id,keywords
9273,"['africa', 'indigen', 'humananimalrelationship', 'bat']"
11517,"['brotherbrotherrelationship', 'subway', 'newyorkc', 'newyorksubway', 'trainrobberi']"
8012,"['gambl', 'miami', 'basedonnovel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'busi', 'hollywood', 'gangster', 'crime', 'violenc', 'drug', 'produc', 'con']"
1710,"['policebrut', 'psycholog', 'policeoper', 'policeprotect', 'serialkil', 'psychologist', 'cowardli']"
9691,"['competit', 'assassin', 'cia', 'bank', 'cat', 'mexicanstandoff', 'seattl', 'hitman', 'missionofmurd', 'hiddencamera', 'rivalri', 'rescu', 'shootout', 'policechas', 'sniperrifl', 'silenc', 'doublecross', 'caribbean', 'detroitmichigan']"
12665,"['deadanim', 'shottodeath', 'teenageboy', 'heldatgunpoint', 'teacherstudentrelationship', 'albino', 'faint', 'christallegori', 'psionicpow', 'healingpow', 'extrasensorypercept']"
451,"['individu', 'prostitut', 'alcohol', 'casino', 'loveatfirstsight', 'lovesick', 'filmproduc', 'screenwrit', 'hotelroom', 'dyinganddeath', 'rageandh', 'unsoci', 'alcohol', 'losangel', 'alcoholabus', 'attemptedsuicid']"
16420,"['shakespear', 'jealousi', 'friend', 'moor']"
9263,"['1970s', 'femalefriendship', 'comingofag', 'gynecologist', 'womandirector']"
17015,"['captain', 'napoleonicwar', 'oldflam', 'admir']"
902,"['clone', 'dream', 'island', 'eye', 'dystopia', 'age', 'friendship', 'rescu', 'children', 'girl', 'childhood']"
37557,"['servant', 'cabaret', 'shanghai', 'diva', 'uncl', 'mistress', 'umbrella']"
9909,"['rapmus', 'karat', 'highschool', 'navaloffic', 'teacher', 'amusementpark']"
63,"['schizophrenia', 'philadelphia', 'stockholmsyndrom', 'timetravel', 'post-apocalypt', 'dystopia', 'lethalvirus', 'monkey', 'subterranean']"
78802,[]
9598,"['sheep', 'pig', 'affect', 'piglet', 'heroism', 'talkinganim', 'separ', 'germanshepherd', 'talkingpig']"
47018,"['england', 'painter', 'conscientiousobjector', 'independentfilm', 'soldier']"
687,"['prison', 'rape', 'sociallydeprivedfamili', 'penalti', 'deathpenalti', 'despair', 'deathrow', 'begnadigung', 'therapist', 'self-discoveri', 'prisoncel', 'courtcas', 'deathsent', 'doomedman', 'sentenc', 'lethalinject', 'forgiv', 'chariti', 'rageandh', 'unsoci', 'rightandjustic', 'court', 'electricchair', 'cowardli']"
139405,[]
33689,"['orphan', 'identicaltwin']"
9603,"['puberti', 'highschool', 'makeamatch', 'spoiledchild', 'gayinterest', 'conflict', 'womandirector']"
34615,['southafrica']
31174,"['england', 'shakespear', 'kidnap', 'murder', 'king']"
11443,"['money', 'lossofvirgin', 'mercykil', 'armoredtruck']"
35196,"['jealousi', 'medicin', 'fountain', 'court', 'wealth', 'glove']"
9312,"['martialart', 'monster', 'island', 'gore', 'sorcer', 'tournament', 'violenc', 'basedonvideogam', 'handtohandcombat']"
577,"['adulteri', 'winter', 'obsess', 'televis', 'newhampshir']"
11861,"['weddingvow', 'marriagepropos', 'marriedcoupl', 'advic', 'marriag', 'love', 'familyholiday', 'extramaritalaffair', 'grandmoth', 'womandirector']"
807,"['self-fulfillingpropheci', 'detect', 's.w.a.t.', 'drugdeal', 'eviscer', 'lustandimpuls', 'rageandh', 'prideandvan', 'immoder', 'insomnia', 'investig', 'pension', 'polic', 'serialkil']"
10530,"['cultureclash', 'settler', 'forbiddenlov', 'coloni', 'music', 'goldrush', 'princess', 'romanc', 'nativeamerican', 'anim', 'virginia', 'starcrossedlov', 'crossculturalrelationship', 'musket', 'indianchief', 'basedonmythsorfolklor', '17thcenturi', 'shaman', 'song', 'animalsidekick']"
8391,"['professor', 'lgbt', 'womandirector']"
629,"['law', 'relat', 'theft', 'crimin', 'criminalmastermind', 'hungarian', 'sibl']"
117164,[]
11448,"['prostitut', 'adopt', 'adoptivefath', 'childless', 'lookingforbirthpar', 'adoptivemoth', 'independentfilm', 'illegalprostitut', 'child']"
49133,['independentfilm']
26441,"['sport', 'kidsandfamili', 'soccer', 'womandirector']"
97406,"['alcohol', 'artist', 'music', 'drug', 'band']"
124057,[]
9089,"['baltimor', 'thanksgiv', 'familyclan', 'familyconflict', 'generationsconflict', 'womandirector']"
11010,"['island', 'letter', 'postman', 'fisherman', 'poet']"
99040,[]
11359,"['cupboard', 'game', 'puppet', 'parallelworld', 'toycomestolif']"
17182,"['rape', 'gun', 'self-defens', 'grievingpar']"
2054,"['compos', 'mentor', 'deaf-mut', 'music', 'apprentic', 'privatelif', 'music', 'disabl']"
10607,"['date', 'slang', 'hip-hop', 'cousin', 'parodi', 'hood', 'gang', 'socialsatir', 'racism', 'gangster']"
19760,"['island', 'paint', 'thief', 'seasick']"
9536,"['biotop', 'vegetarian', 'pollut']"
11525,"['hacker', 'virtualr', 'comput', 'swordfight']"
40628,[]
4482,"['lovetriangl', 'southernfr', 'estateag', 'menageatroi', 'van', 'womandirector']"
10634,"['rapmus', 'parentchildrelationship', 'rapper', 'job']"
755,"['danc', 'brotherbrotherrelationship', 'sexualobsess', 'showdown', 'sheriff', 'erotic', 'nuditi', 'bankrobb', 'vampir', 'holywat', 'sieg', 'stripper', 'priest', 'explos', 'extremeviol', 'bankrobberi', 'preacher', 'hostagesitu', 'crucifix', 'recreationalvehicl', 'bloodspurt', 'conveniencestor', 'femalevampir', 'nightclubentertain']"
11859,"['bomb', 'miami', 'sex', 'detect', 'handcuff', 'basedonnovel', 'hostag', 'fbi', 'kidnap', 'russian', 'kgb', 'chase', 'sadism', 'parkinggarag', 'pizza', 'policeprotect', 'psychopath', 'remak', 'carcrash', 'conspiraci', 'ontherun', 'fugit', 'shootout', 'gunfight', 'sadist', 'footchas', 'policedetect', 'policest', 'carchas', 'heldatgunpoint', 'fbiag', 'doublecross', 'cultfilm', 'computerhack', 'machinegun', 'swatteam', 'grenadelaunch', 'underwaterscen', 'rogueag', 'womanlawy', 'damselindistress']"
28387,['colleg']
48750,"['pari', 'nun', 'boxer', 'lawyer', 'jewish']"
20927,"['florist', 'familyrelationship']"
36929,['bulli']
9102,"['manvsmachin', 'alienplanet', 'struggleforsurviv']"
124626,[]
27526,"['lossofdaught', 'hit-and-rundriving', 'reveng', 'suspens', 'independentfilm', 'tragedi']"
9623,"['juror', 'blackmail', 'courtcas', 'son', 'trial', 'courtroom']"
46785,"['fish', 'money', 'celebr', 'goldfish']"
400,"['fathersonrelationship', 'bountyhunt', 'boat', 'wayoflif', 'coffin', 'denver', 'godmoth', 'paranoia', 'hitman', 'friendship', 'psychopath', 'reveng', 'murder', 'independentfilm', 'mafia', 'diner', 'blood', 'gangster', 'violenc', 'illegalprostitut', 'extramaritalaffair']"
880,"['suicid', 'underdog', 'freelov', 'philosophi', 'rape', 'mentallydis', 'lossofmoth', 'villagelif', 'worldwarii', 'femin', 'indiansummer', 'familyhistori', 'widow', 'peasant', 'villag', 'mathemat', 'freedom', 'rightandjustic', 'singl', 'homosexu', 'motherdaughterrelationship', 'domesticviol', 'univers', 'womandirector']"
146599,"['racialsegreg', 'familyrelationship', 'ruralset', 'africanamerican']"
188588,[]
8447,"['classsocieti', 'richwoman-poorman', 'scientist', 'naturalist', 'insect']"
10534,"['sailingtrip', 'diari', 'sail', 'surviv', 'comingofag', 'teenageboy', 'disciplin', 'shipcaptain', 'caribbean', 'malebond', 'seasick', 'stormatsea', '1960s']"
17414,"['boss', 'fistfight', 'bulli', 'orangutan', 'hotelmanag']"
13997,"['candidcamera', 'doubleact', 'politicalsatir', 'crookedpolitician', 'womandirector']"
2086,"['assassin', 'trainstat', 'polit', 'losangel']"
61548,[]
9095,"['servant', 'monster', 'laboratori', 'jekyllandhyd', 'housemaid', '19thcenturi']"
12158,"['vampir', 'halfvampir']"
9283,['hometown']
9208,"['helicopt', 'river', 'captain', 'underground', 'mexicanstandoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betray', 'gunfight', 'train', 'explos', 'parkrang', 'desert', 'militari', 'box', 'abandonedmin', 'humve']"
40154,"['play', 'hamlet', 'christma', 'actor']"
406,"['pari', 'neo-nazi', 'skinhead', 'robberi', 'policebrut', 'hip-hop', 'gun', 'sociallydeprivedfamili', 'breakdanc', 'arabian', 'boredom', 'reveng', 'suburb', 'violenc', 'policeoffic', 'unemploy', 'captur', 'xenophobia']"
45549,[]
63076,"['narrat', 'hollywood', 'prostitut']"
11062,"['corrupt', 'undercov', 'warondrug', 'mayor', 'drugdeal', 'presidentialelect', 'undercoverag', 'investig', 'polic', 'drug']"
13685,"['brotherbrotherrelationship', 'robberi', 'burglar', 'languagebarri', 'motel', 'independentfilm', 'psychiatrichospit', 'maid', 'theft', 'nervousbreakdown', 'escapad']"
47475,[]
2045,"['wifehusbandrelationship', 'experi', 'polic', 'murder', 'suspens', 'memori', 'forens', 'gunman', 'animalexperiment']"
9614,"['lossofmoth', 'lossoffath', 'golf', 'sport', 'tax']"
688,"['farewel', 'adulteri', 'loveatfirstsight', 'photograph', 'wifehusbandrelationship', 'iowa', ""loveofone'slif"", 'motherrol', 'bridg', 'housewif', 'lovelett', 'peasant', 'marriagecrisi', 'photographi', 'unsoci', 'secretlov', 'naturedocumentari']"
11907,"['propheci', 'voodoo', 'singl', 'fallinginlov', 'womandirector', 'richman']"
10874,"['island', 'pirategang', 'puppet', 'treasurehunt']"
89333,[]
96357,['ex-con']
197,"['individu', 'scotland', 'inlovewithenemi', 'legend', 'independ', 'ideal', 'revolt', 'tyranni']"
103,"['vietnamveteran', 'taxi', 'obsess', 'drugdeal', 'nightshift', 'vigilant', 'alien', 'misanthrop', 'shottodeath', 'illegalprostitut', 'loner']"
33542,"['newyork', 'martialart', 'supermarket', 'gangwar', 'disabledchild', 'gang', 'wed', 'diamond', 'bronx', 'duringcreditssting']"
43566,[]
71754,"['mine', 'dancelesson', 'coalmin', 'bagpip']"
43612,"['bestfriend', 'twin', 'countri', 'identityswap', 'womandirector']"
51352,"['fascism', 'auschwitz', 'typhus', 'victim', 'interview', 'prejudic', 'burglari', 'rabbit']"
16934,"['londonengland', 'poison', 'basedontruestori', 'murder', 'serialkil', 'mentalinstitut', 'teenag', 'psychiatrist', 'stepmoth']"
10324,"['roommat', 'singl', 'love', 'independentfilm', 'bestfriend', 'brooklynbridg']"
78406,"['brotherbrotherrelationship', 'twinbroth', 'lawyer', 'estat', 'santabarbaracalifornia']"
55731,"['hawaii', 'australia', 'teacher', 'car', 'solarpow']"
32119,[]
11066,"['roleofwomen', 'ladykil', 'success', ""ladies'man"", 'casanova', 'woman']"
11104,"['ex-girlfriend', 'drugsmuggl', 'girlfriend', 'snackbar', 'romanc', 'hongkong', 'pineappl', 'flightattend']"
37975,[]
2074,"['lsd', 'lookingforbirthpar', 'half-broth', 'independentfilm']"
27793,"['fli', 'magic']"
44284,['womandirector']
290157,[]
110972,[]
32622,"['independentfilm', 'womandirector']"
73067,"['boy', 'writer', 'ireland', 'flashback']"
11863,"['callgirl', 'sanfrancisco', 'investig', 'murder']"
55475,"['newyork', 'emigr', 'dominicanrepubl']"
124636,[]
9101,"['submarin', 'u.s.navi', 'misfit']"
123360,['biographi']
5757,"['homosexu', 'independentfilm', 'mockumentari']"
39428,"['southernusa', 'basedonnovel', 'singer', 'south']"
124639,[]
9302,"['skabundertv', 'foran', 'nederstehyld']"
11000,"['gay', 'dragqueen', 'homophobia', 'florida', 'comingout', 'senat', 'politician', 'lgbt', 'crossdress', '1990s']"
249882,"['mountain', 'miracl', 'apparit', 'communism', 'virginmari']"
16388,"['love', 'independentfilm', 'bestfriend', 'truelov', 'irishcathol']"
9737,"['miami', 'detect', 'handcuff', 'airport', 'mexicanstandoff', 'stripclub', 'witnessprotect', 'carcrash', 'internalaffair', 'gunfight', 'explos', 'brutal', 'footchas', 'carchas', 'druglord', 'hangar', 'loosecannon', 'blackcop', 'actionhero', 'corruptcop']"
30765,"['china', 'panda', 'poacher']"
10474,"['sport', 'basketbal', 'addict', 'friend', 'drug']"
22279,"['england', 'basedonnovel', 'liverpool', '1940s']"
30157,['independentfilm']
568,"['moon', 'florida', 'nasa', 'spaceman', 'raceagainsttim', 'houston', 'basedontruestori', 'space', 'rescu', 'surviv', 'disast', 'explos', 'astronaut', 'imax', 'courag', 'hypothermia', 'apolloprogram', 'lunarmiss']"
11780,"['scotland', 'biographi', '18thcenturi', 'highland', 'violentman']"
34996,"['newyork', 'philosophi', 'vampir', 'blood', 'student', 'violenc']"
414,"['riddl', 'dccomic', 'rose', 'gothamc', 'partner', 'superhero', 'robin', 'brokenneck', 'psychologist', 'violenc', 'crimin', 'districtattorney', 'millionair', 'fallingdownstair', 'tiedup', 'tommygun', 'beretta', 'knockedout', 'superpow', 'disfigur', 'fatherfigur']"
649,"['prostitut', 'adulteri', 'doublelif', 'dualident', 'jealousi', 'wifehusbandrelationship', 'brothel', 'dream', ""women'ssexualident"", 'fantasi', 'masoch', 'independentfilm']"
1873,"['burma', 'doctor']"
5894,"['smoke', 'cornershop', 'cigarett', 'tobacco', 'cigar', 'independentfilm']"
1775,[]
8839,"['halloween', 'friendship', 'supernatur', 'afterlif', 'friend', 'danger', 'ghost', 'disord', 'younghero', 'imaginari', 'supernatural', 'mischievouschildren']"
20649,"['drugpush', 'train', 'drug', 'druglord']"
10329,"['gorilla', 'kongo', 'diamondmin', 'diamond']"
8963,"['submarin', 'mutini', 'russia', 'missil', 'nuclearmissil', 'embassi', 'u.s.navi', 'battleforpow', 'torpedo', 'militari', 'moraldilemma', 'aircraftcarri']"
26564,"['underground', 'biographi', 'art']"
8068,"['gunsling', 'antiterror', 'ambush', 'mexico', 'showdown', 'guitar', 'nuditi', 'hitman', 'bartend', 'reveng', 'tragichero', 'shootout', 'mariachi', 'explos', 'extremeviol', 'brutal', 'druglord', 'legbrac', 'flashback', 'bookstor']"
8512,"['jazzclub', 'murder', 'losangel', 'privatedetect', 'filmnoir', 'neo-noir']"
1572,"['bomb', 'taxi', 'riddl', 'robberi', 'detect', 'helicopt', 'gold', 'subway', 'ship', 'fistfight', 'polic', 'sequel', 'decept', 'shootout', 'newyorkc', 'explos', 'violenc', 'carchas', 'fbiag', 'flashback', 'aqueduct', 'actionhero']"
13552,"['sex', 'erotic', 'nuditi', 'nazi', 'suspens', 'drifter', 'voyeur']"
259209,[]
6520,"['camelot', 'knight', 'kingarthur', 'excalibur', 'knightsoftheroundt']"
9073,"['humananimalrelationship', 'whale', 'killerwhal']"
10428,"['femalenud', 'hacker', 'nuditi', 'computervirus', 'virtualr', 'comput', 'sexualfantasi', 'prank', 'internet', 'cyberpunk', 'teenag', 'newyorkc', 'secretservic', 'computerhack', 'dreamsequ']"
17447,"['gay', 'aid', 'basedonplayormus', 'hivposit']"
9886,"['brain', 'childhoodmemori', 'dystopia', 'pharmaceuticalindustri', 'computerchip', 'courier', 'cyber', 'cyberpunk']"
9482,"['judg', 'post-apocalypt', 'dystopia', 'basedoncom', 'policeoffic', 'basedongraphicnovel', 'frameup', 'dystopicfutur', 'framedformurd', 'dnatest', 'dredd', '2000ad']"
19326,"['stripper', 'juri', 'jurist', 'independentfilm', 'verdict']"
9344,"['puberti', 'firsttim']"
9071,"['cinema', 'independentfilm', 'filmmak']"
8973,"['fanat', 'supernatur', 'wizardri', 'resurrect', 'sect', 'occult']"
15730,[]
47608,"['suicideattempt', 'colleg', 'teenangst', 'mentalil', 'womandirector']"
2293,"['sex', 'gameshow', 'slacker', 'shop', 'mall', 'ex-boyfriendex-girlfriendrelationship', 'jayandsilentbob', 'bandlead', 'aftercreditssting']"
9070,"['basedontvseri', 'tokusatsu', 'superheroteam', 'ethnicdivers', 'powerrang']"
68274,"['widow', 'femalefriendship', 'grief', 'deathofhusband']"
48787,"['chase', 'polic', 'murder', 'mute', 'disk']"
34574,"['newyork', 'vampir', 'dracula']"
1642,"['cheat', 'newident', 'computervirus', 'chase', 'comput', 'stalk']"
11472,"['parentchildrelationship', 'babi', 'marriag', 'pregnanc', 'childwish']"
36196,"['librari', 'parti', 'independentfilm', 'freespirit', 'womandirector', 'librarian']"
11980,"['angel', 'archangelgabriel']"
58372,"['trauma', 'gameshow', 'femaleprotagonist', 'christma']"
32646,"['sex', 'chemic', 'medicin', 'housewif', 'pollut', 'quarantin', 'independentfilm', 'allergi', 'psychiatrist', 'ill', 'disord', 'retreat']"
10533,"['basedonnovel', 'burningofwitch', 'puritan', 'pregnanc', 'perioddrama', 'extramaritalaffair']"
56088,[]
10802,"['danc', 'femalenud', 'go-godanc', 'spanner', 'seduct', 'stripteas', 'sexapp']"
10149,"['smoke', 'robber', 'cigarett', 'cigar', 'independentfilm', 'writer']"
18402,"['hors', 'savannah', 'basedontruestori', 'famili']"
9348,"['telepathi', 'dna', 'paranoia', 'genet', 'instinct', 'femmefatal', 'alien', 'ontherun', 'decapit', 'sexualattract', 'losangel', 'cocoon', 'geneticengin', 'aliendna']"
139408,"['restaur', 'oil', 'ruralset']"
281,"['pornographi', 'prostitut', 'rape', 'policebrut', 'dream', 'ex-girlfriend', 'futur', 'bodyguard', 'rapper', 'virtualr', 'dystopia', 'minidisc', 'polic', 'ex-cop', 'murder', 'cyberpunk', 'losangel', 'violenc', 'crimin', 'privatedetect', 'revolt', 'womandirector']"
5967,"['carmechan', 'letter', 'music', 'war', 'singl']"
79593,[]
47939,"['basebal', 'drifter', 'dog', 'koreanwar', 'womandirector']"
36834,"['mentor', 'poet', 'womandirector']"
9090,"['transvest', 'gay', 'newyork', 'dragqueen', 'homophobia', 'travel', 'roadmovi', 'womandirector']"
3512,"['terrorist', 'pentagon', 'satellit', 'navys', 'train']"
52856,['womandirector']
77350,['fashion']
9560,"['worldwarii', 'vineyard', 'love', 'remak', 'pregnanc', 'harvest']"
9804,"['ocean', 'tattoo', 'mutant', 'water', 'dystopia', 'doomsday']"
31611,"['dystopia', 'blackwhiterel']"
65796,"['opium', 'lossofeyesight', 'biographi', 'sioux', 'wildbillhickok', 'calamityjan']"
49805,[]
26258,"['cave', 'waterfal', 'children', 'mistakenident', 'boyscoutslead']"
50797,"['wifehusbandrelationship', 'colonel']"
19155,"['monk', 'mountain', 'restaur', 'warphotograph', 'christian', 'fashionphotograph', 'girl', 'violenc', 'albanian', 'macedonia']"
76,"['dialogu', 'sunris', 'talk', 'soulmat', 'walk', 'austria', 'travel', 'danub', 'bittersweet', 'romant', 'vienna']"
11017,['womandirector']
37141,"['alcohol', 'obsess', 'babysitt', 'parti', 'teenag', 'parent']"
9382,"['aid', 'roommat', 'homicid', 'carjourney', 'friendship', 'friend', 'homosexu', 'escap', 'roadmovi']"
6715,['mississippi']
18256,"['castl', 'voyeur']"
22625,"['forbiddenlov', 'moralconflict', 'independentfilm']"
2292,"['salesclerk', 'loser', 'aftercreditssting']"
1909,"['sexaddict', 'love', 'mentalinstitut', 'patient', 'psychiatrist', 'donjuan']"
8984,"['employe', 'workplac', 'sexualharass', 'intrigu']"
61813,"['vision', 'psychic']"
4954,"['terrorist', 'transportofprison', 'airplan', 'parachut', 'suspens']"
62488,"['heist', 'expectantfath']"
10531,"['marriedcoupl', 'chile', 'pinochet-regim', 'reveng', 'doctor', 'tortur', 'humili']"
11929,"['childabus', 'detect', 'basedonnovel', 'bar', 'island', 'suspicionofmurd', 'murder', 'suspens', 'dysfunctionalfamili', 'domesticviol', 'report', 'maid', 'anger', 'alcohol', 'accid', 'abusivefath', 'abusivehusband', 'bankaccount']"
8467,"['gasstat', 'motel', 'utah', 'stupid', 'pill', 'prank', 'cigarsmok', 'violenc', 'crimin', 'firedfromthejob', 'clumsi', 'stepmotherstepdaughterrelationship', 'sittingonatoilet', 'aspencolorado', 'defec', 'scooter', 'hotelsuit', 'endangeredspeci', 'laxat']"
10451,"['cook', 'senseoflif', 'daughter', 'date', 'famili']"
20156,"['secret', 'nightclub', 'petshop', 'independentfilm', 'unhappi']"
18395,"['femalenud', 'sexual', 'island', 'love', 'mistress', 'kinki', 'smuggler', 'bdsm']"
522,"['individu', 'taxi', 'transsexu', 'fortunetel', 'filmbusi', 'filmmak', 'filmproduc', 'vorort', 'filmmak', 'boxer', 'filmdirector', 'oddbal', 'celebr', 'morphin', 'moviestudio', 'losangel', 'drugaddict', 'cultdirector', 'theremin', 'handgun', 'trickortr', 'actor', 'transvestit']"
397,"['pari', 'airport', 'inlovewithenemi', 'canadian', 'necklac', 'fearoffli', 'deal', 'vineyard', 'smuggl']"
10525,"['pari', 'dalla', 'basketbal', 'crisi', 'fallinginlov', 'refere']"
27985,"['wilder', 'boyanddog']"
15789,"['fathersonrelationship', 'popsing', 'music', 'celebr', 'roadtrip', 'deadmoth', 'firstlov', 'goofi']"
27303,['suspens']
21183,"['fathersonrelationship', 'basedonnovel', 'reincarn', 'talkingdog', 'caraccid', 'dog', 'flashback']"
10954,"['brotherbrotherrelationship', 'opera', 'eunuch', 'biographi', 'dresden', 'operasing']"
47867,['countrymus']
43475,[]
72031,[]
14275,"['chicago', 'sportsteam', 'ghetto', 'narrat', 'colleg', 'sport', 'basketbal', 'highschoolsport', 'independentfilm', 'innerc', 'highschoolstud']"
1024,"['mother', 'sex', 'secret', 'obsess', 'literatur', 'nuditi', 'fantasi', 'passion', 'love', 'friend', 'murder', 'independentfilm', 'lesbian', 'true', 'relationship']"
17207,[]
13701,"['deaf', 'sister-in-law', 'characterstudi', 'unclenephewrelationship', 'fürelis']"
14819,"['overweight', 'summercamp']"
32631,[]
11777,"['weddingvow', 'mathematician', 'carmechan', 'comet', 'alberteinstein', ""halley'scomet""]"
628,"['pari', 'sanfrancisco', 'vampir', 'plantat', 'bite', 'fangvamp']"
87729,"['franc', 'revolut', 'biographi', 'presid', 'histori']"
18713,"['newyork', 'gangster']"
6280,"['babi', 'medicin', 'media', 'pregnanc', 'scientist', 'scienc', 'malepregn', 'fertil']"
9061,"['rape', 'blackpeopl', 'florida', 'professor', 'harvardunivers', 'innoc', 'reveng', 'suspens']"
37108,"['timetravel', 'kid', 'medievaltim']"
6071,['hoodlum']
11,"['android', 'galaxi', 'hermit', 'deathstar', 'lightsab', 'jedi', 'rescuemiss', 'empir', 'rebellion', 'planet', 'smuggler', 'theforc', 'spaceopera', 'galacticwar', 'stormtroop', 'totalitarian']"
9587,"['depress', 'motherdaughterrelationship', 'pregnant', 'desir', 'chalkboard', 'womandirector']"
19101,"['basedonnovel', 'servant', 'privateschool', 'femalefriendship', 'boardingschool', 'british', 'school', 'littlegirl', 'orphan', 'india', 'richpoor', 'fatherdaughterrelationship', 'schoolgirl', 'presumeddead', 'attic', 'imagin', 'africanamericanserv', 'fantasylif']"
49980,"['love', 'children', 'famili', 'socialservic']"
17961,[]
18183,"['chocol', 'jealousi', 'sistersisterrelationship', 'cook', 'mexicanrevolut', 'marriag', 'wed', 'singlemoth', 'recip', 'magicr', 'newmexicancinema']"
4476,"['brotherbrotherrelationship', 'montana', 'basedonnovel', 'worldwari', 'journeyroundtheworld']"
11008,"['headquart', 'militarybas', 'militaryservic', 'base', 'major', 'militaryspoof', 'instructor']"
47504,"['russianmafia', 'dysfunctionalfamili', 'brother']"
32325,"['eastlosangel', 'gang', 'losangel', 'poverti', 'gangmemb', 'hispan', 'mexicanamerican', 'girlgang', 'womandirector', 'cholo']"
43742,"['cruis', 'disabl', 'empirestatebuild', 'accid']"
28313,"['mother', 'childabus', 'singlepar', 'basedonnovel', 'smoke', 'babi', 'socialwork', 'drugaddict', 'adopt', 'liber', 'socialwork', 'self-abandon', 'courtcas', 'custodybattl', 'son', 'lookingforbirthpar', 'surrogatemoth', 'racist', 'interracialrelationship', 'extramaritalaffair']"
11318,"['queen', 'kingdom', 'biographi', 'victorianengland', 'psychopathi']"
3036,"['humanexperiment', 'frankenstein', 'remak']"
40490,[]
24070,"['holiday', 'rollerblad', 'crossdress', 'womandirector', 'christma']"
8986,"['prostitut', 'treehous', 'red-lightdisctrict', 'youngpeopl', 'stripper', 'makeamatch', 'mobboss']"
10510,"['holiday', 'competit', 'newlov', 'santaclaus', 'departmentstor', 'miracl', 'wish', 'christma']"
17402,[]
38722,"['immigr', 'marriag', 'independentfilm', 'familyrelationship', 'losangel', 'famili', 'deathofwif']"
8438,"['prison', 'prison', 'deathrow', 'alcatraz', 'lawyer', 'courtroom', 'murdertri', '1940s', 'mistreat', 'publicdefend']"
11593,"['illegalemploy', 'retir', 'drama']"
1945,"['lossofmoth', 'lossofsist', 'twinsist', 'autism', 'lake', 'kaspar-hauser-syndrom', 'feralchild', 'forest', 'northcarolina', 'psychologist', 'famili']"
39310,"['newjersey', 'polic', 'brutal', 'troubledteen', 'hiphop']"
109560,[]
56428,"['suicid', 'detect', 'experi', 'hallucin', 'scientist', 'drug', 'killer']"
63105,"['cyborg', 'post-apocalypt', 'sequel']"
131957,[]
241,"['sadist', 'journalist', 'massmurd', 'yellowpress', 'trauma', 'daughter', 'satir', 'controversi', 'controversi', 'violenc', 'youngcoupl', 'abus']"
9058,"['venic', 'itali', 'fortunetel', 'soulmat', 'cheat', 'trip']"
527,"['individu', 'slum', 'suicid', 'tattoo', 'alcohol', 'rape', 'tradit', 'lossofchild', 'indigen', 'despair', 'violenthusband', 'ghetto', 'newzealand', 'maori', 'strongwoman', 'maoritradit', 'funer', 'approvedschool', 'crush', 'independentfilm', 'teacher', 'youthgang', 'domesticviol', 'violenc', 'rebelliousyouth', 'alcoholabus', 'incest', 'unemploy']"
18220,"['sex', 'obsess', 'diari', 'murder', 'student', 'lust', 'art', 'womandirector', 'eroticmovi']"
6950,"['river', 'general', 'research', 'armi', 'serum', 'monkey', 'epidem', 'medicalresearch']"
